Papel,Segmento,Cotação,Dividend Yield,P/VP,Liquidez,Qtd de imóveis,rank_dy,rank_pvp,metodo2em1
HCTR11,Títulos e Val. Mob.,"31,23","26,82",28,"3547670,0",0,"1,0","3,0","4,0"
DEVA11,Títulos e Val. Mob.,"39,8","21,55",41,"2083330,0",0,"2,0","4,0","6,0"
CPTR11,Títulos e Val. Mob.,"9,96","15,11",10,"1520490,0",0,"9,0","1,5","10,5"
BLMG11,Outros,"57,7","15,66",66,"521722,0",1,"6,0","9,5","15,5"
BTRA11,Outros,"66,6","13,25",53,"631002,0",5,"24,0","5,5","29,5"
BCRI11,Títulos e Val. Mob.,"68,74","13,74",70,"622094,0",0,"19,0","11,0","30,0"
SARE11,Híbrido,"50,09","13,21",53,"1643210,0",3,"25,0","5,5","30,5"
AIEC11,Lajes Corporativas,"62,54","13,52",66,"764557,0",2,"21,0","9,5","30,5"
URPR11,Outros,"88,26","14,14",87,"2472340,0",0,"14,0","24,0","38,0"
HABT11,Títulos e Val. Mob.,"89,45","15,33",90,"1364050,0",0,"7,0","33,5","40,5"
CPTS11,Títulos e Val. Mob.,"8,6","11,17",10,"10324000,0",0,"47,5","1,5","49,0"
VCRA11,Títulos e Val. Mob.,"95,74","15,06",93,"699998,0",0,"10,0","41,5","51,5"
BARI11,Títulos e Val. Mob.,"82,66","11,59",85,"947218,0",1,"42,0","20,0","62,0"
IRDM11,Títulos e Val. Mob.,"79,54","12,94",91,"5435720,0",0,"26,0","37,5","63,5"
PORD11,Títulos e Val. Mob.,"89,02","12,57",91,"543140,0",0,"30,0","37,5","67,5"
RECR11,Títulos e Val. Mob.,"85,85","12,02",90,"6029570,0",1,"38,0","33,5","71,5"
QAGR11,Outros,"48,64","10,69",84,"516984,0",12,"54,0","19,0","73,0"
RBRX11,Títulos e Val. Mob.,"94,79","14,45",98,"829495,0",0,"13,0","61,0","74,0"
BTAL11,Outros,"85,24","10,58",82,"843317,0",9,"59,0","16,0","75,0"
EGAF11,Títulos e Val. Mob.,"98,99","18,8",100,"792272,0",0,"3,0","72,0","75,0"
BRCR11,Híbrido,"57,16","9,83",57,"1729090,0",9,"69,0","7,0","76,0"
VGIA11,Títulos e Val. Mob.,"9,52","16,07",100,"5113870,0",0,"5,0","72,0","77,0"
NEWL11,Híbrido,"107,93","10,43",79,"680171,0",3,"63,0","14,0","77,0"
GTWR11,Lajes Corporativas,"82,5","10,68",87,"1167040,0",3,"55,0","24,0","79,0"
XPCI11,Títulos e Val. Mob.,"87,98","12,19",94,"2356290,0",0,"36,0","45,5","81,5"
PATL11,Logística,"69,68","9,59",71,"544933,0",4,"73,0","12,0","85,0"
CVBI11,Títulos e Val. Mob.,"91,97","12,13",95,"2253180,0",0,"37,0","49,5","86,5"
OUJP11,Híbrido,"98,09","13,62",99,"577258,0",0,"20,0","66,5","86,5"
JGPX11,Híbrido,"95,44","14,1",100,"672212,0",0,"15,0","72,0","87,0"
MCHF11,Títulos e Val. Mob.,"9,2","12,24",96,"958143,0",0,"35,0","52,5","87,5"
RZAK11,Títulos e Val. Mob.,"93,74","14,92",101,"4086880,0",0,"11,0","77,0","88,0"
VRTA11,Títulos e Val. Mob.,"87,6","11,37",94,"2478340,0",0,"43,0","45,5","88,5"
KCRE11,Títulos e Val. Mob.,"93,74","10,67",90,"500602,0",0,"56,0","33,5","89,5"
RBRR11,Títulos e Val. Mob.,"88,89","11,29",94,"3607900,0",0,"44,5","45,5","90,0"
AAZQ11,Títulos e Val. Mob.,"9,34","12,26",97,"713632,0",0,"34,0","56,5","90,5"
MGFF11,Títulos e Val. Mob.,"64,76","9,95",87,"1318050,0",0,"67,5","24,0","91,5"
CACR11,,"104,6","15,18",102,"720771,0",0,"8,0","85,5","93,5"
FGAA11,Híbrido,"9,84","16,32",103,"1369620,0",0,"4,0","93,5","97,5"
XPCA11,Títulos e Val. Mob.,"9,65","14,53",102,"1814640,0",0,"12,0","85,5","97,5"
KISU11,Títulos e Val. Mob.,"8,25","10,24",90,"757466,0",0,"65,0","33,5","98,5"
BTCI11,Títulos e Val. Mob.,"9,77","10,92",95,"2330320,0",0,"50,0","49,5","99,5"
