Papel,Cotação,P/L,Div.Yield,P/VP,ROIC,ROE,Patrim. Líq,PSR,Mrg Ebit,Mrg. Líq.,Liq. Corr.,Dív.Brut/ Patrim.,Cresc. Rec.5a,EV/EBIT,EV/EBITDA,P/EBIT,vpa,lpa,valor_justo_graham,potencial_graham,rank_dy,rank_roe,rank_roic,rank_potencial_graham,rank_pvp,rank_pl,rank_margem_liq,rank_cresc_receita_5a,rank_div_bruta_patrim,rank_liq_corrente,rank_margem_ebit,rank_ev_ebit,rank_ev_ebitda,rank_p_ebit,RANK_RESULTADO,segmento
BMEB4,"12,05","4,62","6,66",91,"0,0","19,8","1382020000,0","0,0","0,0","0,0","0,0","0,0","17,91","0,0","0,0","0,0","13,35","2,12","25,23","109,38","55,0","53,5","81,0","25,0","20,0","15,0","81,0","35,5","7,0","81,0","81,0","6,0","6,0","5,5","547,0",Bancos
BEES4,"9,76","9,25","6,42",147,"0,0","15,92","2093330000,0","0,0","0,0","0,0","0,0","0,0","10,11","0,0","0,0","0,0","6,43","1,04","12,27","25,72","58,0","73,5","81,0","52,0","38,0","69,0","81,0","62,5","7,0","81,0","81,0","6,0","6,0","5,5","696,0",Bancos
BAZA3,"88,99","3,99","6,22",91,"0,0","22,87","5462610000,0","0,0","0,0","0,0","0,0","0,0","29,94","0,0","0,0","0,0","97,45","22,28","221,02","148,36","62,0","42,0","81,0","9,0","20,0","8,0","81,0","7,0","7,0","81,0","81,0","6,0","6,0","5,5","491,0",Bancos
ITUB3,"23,55","7,31","6,35",135,"0,0","18,52","170577000000,0","0,0","0,0","0,0","0,0","0,0","12,43","0,0","0,0","0,0","18,24","3,22","36,35","54,35","60,0","59,5","81,0","36,0","35,5","50,0","81,0","50,5","7,0","81,0","81,0","6,0","6,0","5,5","634,5",Bancos
BBAS3,"49,81","4,31","9,21",91,"0,0","21,05","157200000000,0","0,0","0,0","0,0","0,0","0,0","20,97","0,0","0,0","0,0","56,75","11,36","120,44","141,8","30,0","50,0","81,0","11,0","20,0","12,0","81,0","26,0","7,0","81,0","81,0","6,0","6,0","5,5","492,0",Bancos
BNBR3,"92,9","3,59","6,68",81,"0,0","22,64","9862320000,0","0,0","0,0","0,0","0,0","0,0","20,86","0,0","0,0","0,0","114,18","25,85","257,7","177,4","54,0","43,5","81,0","5,0","12,0","5,0","81,0","27,0","7,0","81,0","81,0","6,0","6,0","5,5","489,5",Bancos
BEES3,"8,57","8,13","7,32",129,"0,0","15,92","2093330000,0","0,0","0,0","0,0","0,0","0,0","10,11","0,0","0,0","0,0","6,43","1,04","12,27","43,17","49,0","73,5","81,0","40,0","33,5","61,0","81,0","62,5","7,0","81,0","81,0","6,0","6,0","5,5","662,5",Bancos
ITUB4,"27,73","8,6","5,39",159,"0,0","18,52","170577000000,0","0,0","0,0","0,0","0,0","0,0","12,43","0,0","0,0","0,0","18,24","3,22","36,35","31,09","71,0","59,5","81,0","48,0","41,5","63,0","81,0","50,5","7,0","81,0","81,0","6,0","6,0","5,5","676,5",Bancos
BMEB3,"14,27","5,47","5,11",108,"0,0","19,8","1382020000,0","0,0","0,0","0,0","0,0","0,0","17,91","0,0","0,0","0,0","13,35","2,12","25,23","76,8","73,0","53,5","81,0","29,0","25,0","24,0","81,0","35,5","7,0","81,0","81,0","6,0","6,0","5,5","583,0",Bancos
ABCB4,"20,09","5,63","6,0",84,"0,0","14,89","5420810000,0","0,0","0,0","0,0","0,0","0,0","17,28","0,0","0,0","0,0","23,98","3,48","43,33","115,68","65,0","80,0","81,0","23,0","16,0","27,0","81,0","38,0","7,0","81,0","81,0","6,0","6,0","5,5","592,0",Bancos
GOAU3,"10,5","3,39","11,05",62,"19,35","18,39","17401700000,0","1,42","16,11","12,61","3,03","0,61","21,38","1,34","1,07","0,88","16,83","3,1","34,26","226,29","19,0","61,5","36,5","1,0","1,5","3,5","47,5","23,5","41,5","7,0","61,5","12,5","12,5","11,5","329,88",Siderurgia
GOAU4,"10,51","3,39","11,04",62,"19,35","18,39","17401700000,0","1,42","16,11","12,61","3,03","0,61","21,38","1,34","1,07","0,88","16,83","3,1","34,26","225,98","20,0","61,5","36,5","2,0","1,5","3,5","47,5","23,5","41,5","7,0","61,5","12,5","12,5","11,5","331,88",Siderurgia
PETR4,"36,68","3,06","25,22",129,"28,95","42,19","370683000000,0","8,23","44,97","26,99","0,9","0,75","19,42","2,66","2,08","1,83","28,42","11,99","87,56","138,71","1,0","8,5","10,5","12,0","33,5","1,0","10,5","28,5","53,5","67,0","6,5","17,0","15,0","13,0","266,33",Exploração. Refino e Distribuição
WIZC3,"5,15","7,84","8,64",199,"24,18","25,32","414748000,0","8,23","44,77","18,17","0,84","0,88","12,08","1,93","1,57","1,84","2,59","0,66","6,2","20,39","39,0","36,0","19,0","55,0","56,5","56,0","30,0","54,0","57,0","70,0","8,0","14,0","14,0","14,0","510,34",Corretoras de Seguros
PETR3,"39,71","3,31","23,3",140,"28,95","42,19","370683000000,0","8,91","44,97","26,99","0,9","0,75","19,42","2,82","2,19","1,98","28,42","11,99","87,56","120,5","2,0","8,5","10,5","20,0","37,0","2,0","10,5","28,5","53,5","67,0","6,5","18,0","17,5","15,0","283,48",Exploração. Refino e Distribuição
RAPT3,"9,17","6,34","5,58",103,"15,57","16,22","2934230000,0","2,66","13,09","6,28","2,17","1,8","28,5","4,21","3,57","2,03","8,91","1,45","17,05","85,93","70,0","71,5","49,5","27,0","24,0","40,5","70,5","12,5","75,5","20,5","66,5","23,0","23,0","16,0","576,03",Material Rodoviário
NEOE3,"18,56","5,15","6,23",81,"11,36","15,72","27832000000,0","5,05","22,1","9,95","1,1","1,56","15,24","6,05","4,84","2,29","23,07","3,89","44,94","142,13","61,0","75,0","64,0","10,0","12,0","19,0","64,0","45,0","70,0","60,0","46,0","49,5","49,0","17,0","626,79",Energia Elétrica
RAPT4,"11,0","7,61","4,65",123,"15,57","16,22","2934230000,0","3,19","13,09","6,28","2,17","1,8","28,5","4,61","3,92","2,44","8,91","1,45","17,05","55,0","81,0","71,5","49,5","35,0","30,0","55,0","70,5","12,5","75,5","20,5","66,5","27,0","32,0","18,0","628,94",Material Rodoviário
ENGI4,"7,33","9,35","4,09",126,"10,68","13,5","11837500000,0","5,57","21,69","7,54","1,23","2,63","12,63","6,44","5,2","2,57","5,81","0,78","10,1","37,79","85,0","86,0","65,0","43,0","32,0","73,0","67,0","49,0","85,0","52,0","51,0","59,5","55,5","19,0","805,57",Energia Elétrica
POSI3,"6,87","4,58","7,48",70,"12,86","15,32","1389550000,0","2,57","9,91","5,74","2,07","0,95","25,13","4,95","4,36","2,59","9,8","1,5","18,19","164,77","48,0","76,0","59,0","7,0","3,0","14,0","74,0","19,0","59,0","25,0","70,0","34,0","43,0","20,0","533,59",Computadores e Equipamentos
CEEB3,"38,2","6,33","11,95",159,"14,13","25,1","6303000000,0","6,95","24,3","10,98","0,82","2,09","12,05","6,44","5,2","2,86","24,32","6,18","58,15","52,23","17,0","37,5","57,5","37,0","41,5","39,0","57,5","55,5","79,5","72,5","36,5","59,5","55,5","21,0","648,86",Energia Elétrica
SAPR3,"4,69","5,18","7,24",78,"15,2","15,03","9100570000,0","12,02","41,83","23,19","1,47","0,62","7,45","4,68","3,95","2,87","6,02","0,91","11,1","136,67","51,0","78,0","53,0","13,0","7,0","20,0","20,0","76,0","44,0","43,0","10,0","28,0","33,0","22,0","478,87",Água e Saneamento
SAPR11,"23,94","5,29","7,66",80,"15,2","15,03","9100570000,0","12,27","41,83","23,19","1,47","0,62","7,45","4,74","4,0","2,93","30,11","4,52","55,34","131,16","46,0","78,0","53,0","15,0","9,5","21,5","20,0","76,0","44,0","43,0","10,0","29,5","34,5","23,5","482,93",Água e Saneamento
SAPR4,"4,79","5,29","7,8",80,"15,2","15,03","9100570000,0","12,27","41,83","23,19","1,47","0,62","7,45","4,74","4,0","2,93","6,02","0,91","11,1","131,73","44,0","78,0","53,0","14,0","9,5","21,5","20,0","76,0","44,0","43,0","10,0","29,5","34,5","23,5","479,93",Água e Saneamento
GGBR3,"21,0","3,86","15,4",75,"19,39","19,52","48976900000,0","4,84","16,13","12,59","2,94","0,22","21,38","3,53","2,84","3,0","27,87","5,44","58,41","178,14","6,0","55,5","34,5","4,0","5,0","7,0","49,5","23,5","21,5","10,5","59,5","20,0","20,0","25,0","319,5",Siderurgia
SOND5,"49,98","7,5","12,19",221,"66,4","29,45","55632000,0","7,5","23,8","10,01","2,29","0,0","29,74","2,32","2,17","3,15","22,63","6,67","58,28","16,61","14,0","27,5","1,5","56,0","59,0","53,0","62,5","8,5","7,0","18,5","38,5","15,0","16,0","26,5","380,15",Engenharia Consultiva
CEEB5,"42,06","6,97","10,85",175,"14,13","25,1","6303000000,0","7,65","24,3","10,98","0,82","2,09","12,05","6,73","5,44","3,15","24,32","6,18","58,15","38,25","23,0","37,5","57,5","41,0","51,5","47,5","57,5","55,5","79,5","72,5","36,5","62,0","60,0","26,5","684,65",Energia Elétrica
SOND6,"50,26","7,54","12,13",222,"66,4","29,45","55632000,0","7,54","23,8","10,01","2,29","0,0","29,74","2,34","2,19","3,17","22,63","6,67","58,28","15,96","16,0","27,5","1,5","57,0","60,0","54,0","62,5","8,5","7,0","18,5","38,5","16,0","17,5","28,0","387,67",Engenharia Consultiva
